state,county,kind,owner,link_text,url,final_url,http_status,error,is_pdf,n_chars,anti_scraping,anti_scraping_quote,no_bulk_download,no_bulk_download_quote,commercial_use,commercial_use_quote,rate_limit,rate_limit_quote,permission_required,permission_required_quote,ai_training,ai_training_quote
TX,hunt,disclaimer,county,Disclaimer,https://www.huntcounty.net/page/web-disclaimer,https://www.huntcounty.net/page/web-disclaimer,200,,false,2498,false,,false,,false,,false,,false,,false,
TX,jackson,disclaimer,county,Disclaimer,https://www.co.jackson.tx.us/page/web-disclaimer,https://www.co.jackson.tx.us/page/web-disclaimer,200,,false,2506,false,,false,,false,,false,,false,,false,
TX,jasper,disclaimer,county,Disclaimer,https://www.co.jasper.tx.us/page/web-disclaimer,https://www.co.jasper.tx.us/page/web-disclaimer,200,,false,2511,false,,false,,false,,false,,false,,false,
TX,jim_hogg,disclaimer,county,LEGAL NOTICE,https://www.co.jim-hogg.tx.us/upload/page/9452/2023/doc051823001.pdf,https://www.co.jim-hogg.tx.us/upload/page/9452/2023/doc051823001.pdf,200,,true,0,,,,,,,,,,,,
TX,kimble,disclaimer,county,Disclaimer,https://www.co.kimble.tx.us/page/web-disclaimer,https://www.co.kimble.tx.us/page/web-disclaimer,200,,false,2517,false,,false,,false,,false,,false,,false,
TX,kinney,disclaimer,county,Disclaimer,https://www.co.kinney.tx.us/page/web-disclaimer,https://www.co.kinney.tx.us/page/web-disclaimer,200,,false,2492,false,,false,,false,,false,,false,,false,
TX,lamb,disclaimer,county,Disclaimer,https://www.co.lamb.tx.us/page/web-disclaimer,https://www.co.lamb.tx.us/page/web-disclaimer,200,,false,2502,false,,false,,false,,false,,false,,false,
TX,lubbock,terms,county,Terms of Use,https://www.lubbockcounty.gov/terms,https://www.lubbockcounty.gov/terms/,200,,false,15584,false,,false,,false,,false,,false,,false,
TX,matagorda,disclaimer,county,Disclaimer,https://www.matagordatx.gov/page/Disclaimer,https://www.matagordatx.gov/page/Disclaimer,200,,false,2531,false,,false,,false,,false,,false,,false,
TX,medina,disclaimer,county,Disclaimer,https://www.medinatx.gov/page/web-disclaimer,https://www.medinatx.gov/page/web-disclaimer,200,,false,2519,false,,false,,false,,false,,false,,false,
TX,mills,disclaimer,county,Disclaimer,https://www.millscountytx.gov/page/web-disclaimer,https://www.millscountytx.gov/page/web-disclaimer,200,,false,2521,false,,false,,false,,false,,false,,false,
TX,mitchell,disclaimer,county,Disclaimer,https://www.co.mitchell.tx.us/page/web-disclaimer,https://www.co.mitchell.tx.us/page/web-disclaimer,200,,false,2528,false,,false,,false,,false,,false,,false,
TX,navarro,disclaimer,county,Disclaimer,https://www.co.navarro.tx.us/page/web-disclaimer,https://www.co.navarro.tx.us/page/web-disclaimer,200,,false,2522,false,,false,,false,,false,,false,,false,
TX,oldham,disclaimer,county,Disclaimer,https://www.co.oldham.tx.us/page/web-disclaimer,https://www.co.oldham.tx.us/page/web-disclaimer,200,,false,2452,false,,false,,false,,false,,false,,false,
TX,orange,disclaimer,county,Maps,https://www.co.orange.tx.us/departments/EnvironmentalHealthCodeCompliance/MapPortalDisclaimer,https://www.co.orange.tx.us/departments/EnvironmentalHealthCodeCompliance/MapPortalDisclaimer,200,,false,2007,false,,false,,false,,false,,false,,false,
TX,randall,disclaimer,county,Disclaimer,https://www.randallcounty.gov/disclaimer,https://www.randallcounty.gov/125/Disclaimer,200,,false,2747,false,,false,,false,,false,,false,,false,
TX,rusk,disclaimer,county,Disclaimer,https://www.ruskcountytx.gov/page/web-disclaimer,https://www.ruskcountytx.gov/page/web-disclaimer,200,,false,2527,false,,false,,false,,false,,false,,false,
TX,san_patricio,disclaimer,county,Disclaimer,https://www.sanpatriciocountytx.gov/page/web-disclaimer,https://www.sanpatriciocountytx.gov/page/web-disclaimer,200,,false,1582,false,,false,,false,,false,,false,,false,
TX,schleicher,disclaimer,county,Disclaimer,https://www.schleichercounty.gov/page/web-disclaimer,https://www.schleichercounty.gov/page/web-disclaimer,200,,false,2493,false,,false,,false,,false,,false,,false,
TX,sherman,disclaimer,county,Disclaimer,https://www.shermancountytx.gov/page/web-disclaimer,https://www.shermancountytx.gov/page/web-disclaimer,200,,false,2540,false,,false,,false,,false,,false,,false,
TX,starr,disclaimer,county,Disclaimer,https://www.co.starr.tx.us/page/web-disclaimer,https://www.co.starr.tx.us/page/web-disclaimer,200,,false,2518,false,,false,,false,,false,,false,,false,
TX,sterling,disclaimer,county,Disclaimer,https://www.sterlingcotx.gov/page/web-disclaimer,https://www.sterlingcotx.gov/page/web-disclaimer,200,,false,2574,false,,false,,false,,false,,false,,false,
TX,titus,disclaimer,county,NEWS & PRESS RELEASES,https://www.co.titus.tx.us/page/coclerk.publiclegalnotices,https://www.co.titus.tx.us/page/coclerk.publiclegalnotices,200,,false,663,false,,false,,false,,false,,false,,false,
TX,travis,disclaimer,county,Disclaimers,https://www.traviscountytx.gov/disclaimer,https://www.traviscountytx.gov/disclaimer,200,,false,8909,false,,false,,false,,false,,false,,false,
TX,uvalde,disclaimer,county,Legal Notices,https://www.uvaldecounty.gov/uvalde-county-legal-notices,https://www.uvaldecounty.gov/uvalde-county-legal-notices,200,,false,1076,false,,false,,false,,false,,false,,false,
TX,victoria,disclaimer,county,Web Site Disclaimer,https://www.vctx.org/upload/shared/Victoria County Website Disclaimer.pdf,https://www.vctx.org/upload/shared/Victoria%20County%20Website%20Disclaimer.pdf,200,,true,0,,,,,,,,,,,,
TX,walker,terms,county,Terms of Use,https://www.co.walker.tx.us/terms,https://www.co.walker.tx.us/terms/,200,,false,15542,false,,false,,false,,false,,false,,false,
TX,wheeler,disclaimer,county,Disclaimer,https://www.wheelercounty.texas.gov/page/web-disclaimer,https://www.wheelercounty.texas.gov/page/web-disclaimer,200,,false,2524,false,,false,,false,,false,,false,,false,
TX,wilbarger,disclaimer,county,Disclaimer,https://www.co.wilbarger.tx.us/page/Disclaimer,https://www.co.wilbarger.tx.us/page/Disclaimer,200,,false,2520,false,,false,,false,,false,,false,,false,
FL,baker,disclaimer,county,Disclaimer,https://votebakerfl.gov/disclaimer,https://votebakerfl.gov/disclaimer/,200,,false,748,false,,false,,false,,false,,false,,false,
FL,bradford,disclaimer,county,Legal Notices,https://www.votebradfordfl.gov/resources/legal_notices/index.php,https://www.votebradfordfl.gov/resources/legal_notices/index.php,200,,false,5445,false,,false,,false,,false,,false,,false,
FL,bradford,disclaimer,county,View our Legal Notices Online Read More,https://www.votebradfordfl.gov/news_detail_T10_R1.php,https://www.votebradfordfl.gov/news_detail_T10_R1.php,200,,false,1036,false,,false,,false,,false,,false,,false,
FL,brevard,disclaimer,county,Eligibility Legal Notices,https://www.votebrevard.gov/News-and-Notices/Eligibility-Legal-Notices,https://www.votebrevard.gov/News-and-Notices/Eligibility-Legal-Notices,200,,false,9443,false,,false,,false,,false,,false,,false,
FL,broward,disclaimer,county,Disclaimer,https://browardvotes.gov/disclaimer,https://browardvotes.gov/disclaimer,200,,false,11868,false,,false,,false,,false,,false,,false,
FL,calhoun,terms,county,Terms and Condition,https://votecalhounfl.gov/terms-and-condition/,https://votecalhounfl.gov/terms-and-condition/,200,,false,31646,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,charlotte,disclaimer,county,Legal Notices,https://www.soecharlottecountyfl.gov/1246,https://www.soecharlottecountyfl.gov/1246/Legal-Notices,200,,false,648,false,,false,,false,,false,,false,,false,
FL,clay,disclaimer,county,Legal Notices,https://clayelections.gov/general-information/legal-notices/,https://clayelections.gov/general-information/legal-notices/,200,,false,942,false,,false,,false,,false,,false,,false,
FL,clay,disclaimer,county,Legal Notices,https://clayelections.gov/General-RANDOM/Legal-Notices,https://clayelections.gov/general-information/legal-notices/,200,,false,942,false,,false,,false,,false,,false,,false,
FL,clay,disclaimer,county,DISCLAIMER,https://clayelections.gov/ada-disclaimer,https://clayelections.gov/ada-disclaimer/,200,,false,1078,false,,false,,false,,false,,false,,false,
FL,columbia,disclaimer,county,Legal Notices,https://www.votecolumbiafl.gov/voter_information/legal_notices.php,https://www.votecolumbiafl.gov/voter_information/legal_notices.php,200,,false,4838,false,,false,,false,,false,,false,,false,
FL,dixie,legal_other,county,Website Policies,https://dixievotes.gov/website-policies,https://dixievotes.gov/website-policies/,200,,false,124,false,,false,,false,,false,,false,,false,
FL,flagler,disclaimer,county,Legal Notices,https://www.flaglerelections.gov/Get-RANDOM/Legal-Notices,https://www.flaglerelections.gov/Get-RANDOM/Legal-Notices,403,,false,0,,,,,,,,,,,,
FL,flagler,disclaimer,county,Official Election Mail All political mailings are required to have identifying disclaimers. Get Information,https://www.flaglerelections.gov/Get-RANDOM/Election-RANDOM/Official-RANDOM-Mail,https://www.flaglerelections.gov/Get-RANDOM/Election-RANDOM/Official-RANDOM-Mail,403,,false,0,,,,,,,,,,,,
FL,gadsden,legal_other,county,Website Policies,https://votegadsdenfl.gov/website-policies/,https://votegadsdenfl.gov/website-policies/,200,,false,50875,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,holmes,disclaimer,county,Legal Notices,https://holmeselectionsfl.gov/legal-notices/,https://holmeselectionsfl.gov/legal-notices/,200,,false,1193,false,,false,,false,,false,,false,,false,
FL,holmes,terms,county,Terms and Condition,https://holmeselectionsfl.gov/terms-and-conditions/,https://holmeselectionsfl.gov/terms-and-conditions/,200,,false,32203,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,indian_river,disclaimer,county,Legal Notice,https://www.voteindianriver.gov/public_notices/legal_notice.php,https://www.voteindianriver.gov/public_notices/legal_notice.php,200,,false,4337,false,,false,,false,,false,,false,,false,
FL,jackson,disclaimer,county,Legal Notices,https://votejacksonfl.gov/public-records/legal-notices/,https://votejacksonfl.gov/public-records/legal-notices/,200,,false,9698,false,,false,,false,,false,,false,,false,
FL,jackson,terms,county,Terms of Use,https://votejacksonfl.gov/terms-of-use/,https://votejacksonfl.gov/terms-of-use/,200,,false,32264,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,jefferson,disclaimer,county,Legal Notices,https://jeffersonvotesfl.gov/legal-notices/,https://jeffersonvotesfl.gov/legal-notices/,200,,false,650,false,,false,,false,,false,,false,,false,
FL,lafayette,terms,county,Terms and Conditions,https://lafayettevotes.net/terms-and-conditions/,https://lafayettevotes.net/terms-and-conditions/,200,,false,32444,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,liberty,terms,county,Terms of Use,https://libertycountyflsoe.gov/terms-of-use/,https://libertycountyflsoe.gov/terms-of-use/,200,,false,32269,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
FL,manatee,disclaimer,county,Legal Notices,https://www.votemanatee.gov/legal-notices/,https://www.votemanatee.gov/legal-notices/,200,,false,5431,false,,false,,false,,false,,false,,false,
FL,miami-dade,disclaimer,county,News & Legal Notices,https://www.votemiamidade.gov/elections/news/home.page,https://www.votemiamidade.gov/elections/news/home.page,200,,false,243,false,,false,,false,,false,,false,,false,
FL,miami-dade,disclaimer,county,Legal Notices,https://www.votemiamidade.gov/elections/news/legal-ads.page?ORGANIZATION=org146299202858021,https://www.votemiamidade.gov/elections/news/legal-ads.page?ORGANIZATION=org146299202858021,200,,false,73,false,,false,,false,,false,,false,,false,
FL,miami-dade,disclaimer,county,Disclaimer,https://www.votemiamidade.gov/elections/disclaimer.page,https://www.votemiamidade.gov/elections/disclaimer.page,200,,false,12364,false,,false,,false,,false,,false,,false,
FL,nassau,terms,county,Terms of Service,https://www.votenassaufl.gov/terms-of-service,https://www.votenassaufl.gov/terms-of-service,200,,false,1113,false,,false,,false,,false,,false,,false,
FL,orange,disclaimer,county,"News & Legal Ads Stay up to date with official announcements, press releases, and legal notices.",https://voteorangefl.gov/news-legal-ads/,https://voteorangefl.gov/news-legal-ads/,200,,false,3223,false,,false,,false,,false,,false,,false,
FL,orange,disclaimer,county,Disclaimer Review important legal information about this website.,https://voteorangefl.gov/disclaimer/,https://voteorangefl.gov/disclaimer/,200,,false,3377,false,,false,,false,,false,,false,,false,
FL,pasco,disclaimer,county,Disclaimer of Privacy Policy,https://www.pascovotes.gov/privacy_policy/index.php,https://www.pascovotes.gov/privacy_policy/index.php,200,,false,3733,false,,false,,true,"We do not use your information for commercial purposes, advertising, or profiling.",false,,false,,false,
FL,taylor,disclaimer,county,"August 14, 2026 Voter Eligibility Notice August 14, 2026 Legal Notice Pursuant to F.F.98.075, notice is hereby given to ",https://www.taylorelectionsfl.gov/announcements/voter-eligibility-notice-4/,https://www.taylorelectionsfl.gov/announcements/voter-eligibility-notice-4/,200,,false,2159,false,,false,,false,,false,,false,,false,
FL,wakulla,terms,county,Privacy Policy & Terms of Use,https://wakullavotes.gov/privacy-policy/,https://wakullavotes.gov/privacy-policy/,200,,false,8973,false,,false,,false,,false,,false,,false,
FL,walton,terms,county,Privacy Policy & Terms of Use,https://votewalton.gov/privacy-policy-and-terms/,https://votewalton.gov/privacy-policy-and-terms/,200,,false,8967,false,,false,,false,,false,,false,,false,
FL,washington,terms,county,Terms of Use,https://wcsoe.gov/terms-of-use/,https://wcsoe.gov/terms-of-use/,200,,false,32576,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,,true,"You may not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit, or public purposes all or any portion of this Web Site, except to the extent permitted above.",false,,true,"You may not use any robot, spider, other automatic software or device, or manual process to monitor or copy our Web Site or the Content without Provider’s prior written permission.",false,
