host,states,n_targets,page_types,external_host,http_status,http_version,redirects,final_url,content_type,server,cdn_headers,error,has_robots,soft_404,n_bytes,n_groups,star_disallow,star_allow,blocks_all_star,crawl_delay_star,n_sitemaps,sitemaps,ai_bots_blocked,n_ai_blocked,archive_bots_blocked,tool_bots_blocked,n_targets_disallowed,targets_disallowed
unionflvotes.com,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://unionflvotes.com/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1935,10,1,3,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
votebakerfl.gov,FL,4,early_voting|homepage|polling|results,false,200,h2,0,https://votebakerfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1836,10,0,1,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
votecalhounfl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://votecalhounfl.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-edge-cache;cf-ray,,true,false,118,1,1,1,false,,1,https://votecalhounfl.gov/wp-sitemap.xml,,0,,,0,
votedesotofl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://votedesotofl.gov/robots.txt,text/plain,Apache,,,true,false,117,1,1,1,false,,1,https://votedesotofl.gov/wp-sitemap.xml,,0,,,0,
votegadsdenfl.gov,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://votegadsdenfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1957,10,1,2,false,,1,https://votegadsdenfl.gov/wp-sitemap.xml,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
voteglades.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://voteglades.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1951,10,1,2,false,,1,https://voteglades.gov/wp-sitemap.xml,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
votegulf.gov,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://votegulf.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
votejacksonfl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://votejacksonfl.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-edge-cache;cf-ray,,true,false,1954,10,1,2,false,,1,https://votejacksonfl.gov/wp-sitemap.xml,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
voteokeechobee.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://voteokeechobee.gov/robots.txt,text/plain,Apache,,,true,false,119,1,1,1,false,,1,https://voteokeechobee.gov/wp-sitemap.xml,,0,,,0,
voteorangefl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://voteorangefl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,68,1,1,1,false,,0,,,0,,,0,
votesantarosa.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://votesantarosa.gov/robots.txt,text/plain,Apache,,,true,false,118,1,1,1,false,,1,https://votesantarosa.gov/wp-sitemap.xml,,0,,,0,
voteseminole.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://voteseminole.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,113,1,1,1,false,,1,https://voteseminole.gov/sitemap2.xml,,0,,,0,
votewalton.gov,FL,5,elections|homepage|polling|results|voter_registration,false,200,h2,0,https://votewalton.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-edge-cache;cf-ray,,true,false,115,1,1,1,false,,1,https://votewalton.gov/wp-sitemap.xml,,0,,,0,
wakullavotes.gov,FL,4,elections|homepage|polling|results,false,200,h2,0,https://wakullavotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-edge-cache;cf-ray,,true,false,1953,10,1,2,false,,1,https://wakullavotes.gov/wp-sitemap.xml,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
wcsoe.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://wcsoe.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-edge-cache;cf-ray,,true,false,1946,10,1,2,false,,1,https://wcsoe.gov/wp-sitemap.xml,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.bayvotesfl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.bayvotesfl.gov/robots.txt,text/plain,cloudflare,cf-apo-via;cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.colliervotes.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.colliervotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.duvalelections.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.duvalelections.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.flaglerelections.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.flaglerelections.gov/robots.txt,text/plain,,,,true,false,347,1,9,0,false,,1,https://www.flaglerelections.gov/sitemap.xml,,0,,,0,
www.hamiltonvotesfl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.hamiltonvotesfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.hendryelections.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.hendryelections.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.hernandovotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.hernandovotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.lakevotes.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.lakevotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.lee.vote,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.lee.vote/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.leonvotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.leonvotes.gov/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,741,1,16,0,false,,0,,,0,,,0,
www.martinvotes.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.martinvotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,120,1,1,1,false,,1,https://www.martinvotes.gov/wp-sitemap.xml,,0,,,0,
www.pascovotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.pascovotes.gov/robots.txt,text/html,cloudflare,cf-cache-status;cf-ray,,false,false,0,0,0,0,,,0,,,0,,,0,
www.polkelections.gov,FL,4,elections|homepage|polling|voter_registration,false,200,h2,0,https://www.polkelections.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.sarasotavotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.sarasotavotes.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.soecharlottecountyfl.gov,FL,4,early_voting|elections|homepage|voter_registration,false,200,h2,0,https://www.soecharlottecountyfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.stlucievotes.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.stlucievotes.gov/robots.txt,text/html,cloudflare,cf-cache-status;cf-ray,,false,false,0,0,0,0,,,0,,,0,,,0,
www.suwanneevotes.com,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://www.suwanneevotes.com/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,86,1,1,1,false,,0,,,0,,,0,
www.taylorelectionsfl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.taylorelectionsfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.volusiaelections.gov,FL,5,early_voting|elections|homepage|results|voter_registration,false,200,h2,0,https://www.volusiaelections.gov/robots.txt,text/plain,AmazonS3,x-amz-cf-id;x-amz-cf-pop;x-cache,,true,false,24,1,1,0,false,,0,,,0,,,0,
www.votealachua.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votealachua.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.votebradfordfl.gov,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://www.votebradfordfl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1836,10,0,1,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.votebrevard.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votebrevard.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,738,1,16,0,false,,1,https://www.votebrevard.gov/Sitemap.aspx,,0,,,0,
www.votecitrus.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votecitrus.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.votecolumbiafl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votecolumbiafl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1836,10,0,1,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.votefranklinfl.gov,FL,4,elections|homepage|polling|voter_registration,false,404,1.1,0,https://www.votefranklinfl.gov/robots.txt,text/html,cloudflare,cf-cache-status;cf-ray,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votegilchrist.com,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.votegilchrist.com/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votehighlands.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votehighlands.gov/robots.txt,text/plain,nginx,,,true,false,165,1,0,0,false,,1,https://www.votehighlands.gov/sitemap.xml,,0,,,0,
www.votehillsborough.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votehillsborough.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.voteindianriver.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.voteindianriver.gov/robots.txt,text/html,cloudflare,cf-cache-status;cf-ray,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votelevy.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votelevy.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1930,10,1,3,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.votemadison.com,FL,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://www.votemadison.com/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,86,1,1,1,false,,0,,,0,,,0,
www.votemanatee.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votemanatee.gov/robots.txt,text/plain,nginx,x-amz-cf-id;x-amz-cf-pop;x-cache,,true,false,177,1,1,0,false,,1,https://www.votemanatee.gov/sitemap_index.xml,,0,,,0,
www.votemarion.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votemarion.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.votemiamidade.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.votemiamidade.gov/robots.txt,text/html,Microsoft-IIS/10.0,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votemonroeflkeys.gov,FL,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.votemonroeflkeys.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,2577,10,16,1,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.votenassaufl.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votenassaufl.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,164,1,0,0,false,,1,https://www.votenassaufl.gov/sitemap.xml,,0,,,0,
www.voteokaloosa.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.voteokaloosa.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,1922,10,1,2,false,,0,,amazonbot|applebot-extended|bytespider|ccbot|claudebot|google-extended|gptbot|meta-externalagent,8,,,0,
www.voteosceola.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,1,https://www.voteosceola.gov/en-us/robots.txt,text/html,nginx,x-cache,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votepalmbeach.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votepalmbeach.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.votepinellas.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votepinellas.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.voteputnamflorida.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.voteputnamflorida.gov/robots.txt,text/html,cloudflare,cf-cache-status;cf-ray,,false,false,0,0,0,0,,,0,,,0,,,0,
www.votesjc.gov,FL,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.votesjc.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,159,1,0,0,false,,1,https://www.votesjc.gov/sitemap.xml,,0,,,0,
results.enr.clarityelections.com,FL|TX,16,results,true,404,1.1,0,https://results.enr.clarityelections.com/robots.txt,text/html,CloudFront,x-amz-cf-id;x-amz-cf-pop;x-cache,,false,false,0,0,0,0,,,0,,,0,,,0,
apps.easydoc.jackcounty.org,TX,1,results,true,,,0,https://apps.easydoc.jackcounty.org/robots.txt,,,,ConnectTimeout: timed out,false,false,0,0,0,0,,,0,,,0,,,0,
atascosacounty-my.sharepoint.com,TX,1,early_voting,true,200,h2,0,https://atascosacounty-my.sharepoint.com/robots.txt,,,x-cache,,true,false,28,1,1,0,true,,0,,,0,,,1,https://atascosacounty-my.sharepoint.com/:x:/g/personal/cseiter_co_atascosa_tx_us/IQAVvZJaczEzSpO9nJE5CHxnAaib13gCwpIsvw91kcjYkxQ?rtime=-jVFc87s3kg
burnetcountyelections.com,TX,4,early_voting|elections|polling|results,true,200,h2,0,https://burnetcountyelections.com/robots.txt,text/plain,nginx/1.29.8,,,true,false,183,1,1,0,false,,1,https://burnetcountyelections.com/sitemap_index.xml,,0,,,0,
cameroncountytx.gov,TX,1,results,false,200,h2,1,https://www.cameroncountytx.gov/robots.txt,text/plain,Sucuri/Cloudproxy,x-sucuri-cache;x-sucuri-id,,true,false,337,1,2,0,false,,1,https://www.cameroncountytx.gov/sitemap_index.xml,,0,,,0,
co.atascosa.tx.us,TX,3,elections|homepage|polling,false,200,h2,0,https://co.atascosa.tx.us/robots.txt,text/plain,Apache,,,true,false,118,1,1,1,false,,1,https://co.atascosa.tx.us/wp-sitemap.xml,,0,,,0,
co.maverick.tx.us,TX,2,elections|homepage,false,200,h2,0,https://co.maverick.tx.us/robots.txt,text/plain,,,,true,false,104,1,2,1,false,,1,https://co.maverick.tx.us/sitemap.xml,,0,,,0,
dimmitcounty.org,TX,1,elections,false,404,1.1,1,https://cms9files.revize.com/dimmittx/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
elections.bexar.gov,TX,1,voter_registration,true,200,h2,0,https://elections.bexar.gov/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
elections.brazoscountytx.gov,TX,5,early_voting|elections|polling|results|voter_registration,false,200,h2,0,https://elections.brazoscountytx.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,129,1,1,1,false,,1,https://elections.brazoscountytx.gov/wp-sitemap.xml,,0,,,0,
elections.mctx.org,TX,4,early_voting|elections|results|voter_registration,false,404,1.1,0,https://elections.mctx.org/robots.txt,text/html,Microsoft-IIS/8.5,,,false,false,0,0,0,0,,,0,,,0,,,0,
elections.mywoodcounty.com,TX,4,early_voting|elections|polling|results,false,200,h2,0,https://elections.mywoodcounty.com/robots.txt,text/plain,Apache,,,true,false,127,1,1,1,false,,1,https://elections.mywoodcounty.com/wp-sitemap.xml,,0,,,0,
epcountyvotes.com,TX,3,early_voting|elections|polling,true,200,h2,0,https://epcountyvotes.com/robots.txt,text/plain,,,,false,true,0,0,0,0,,,0,,,0,,,0,
epcountyvotestx.gov,TX,1,voter_registration,true,200,h2,0,https://epcountyvotestx.gov/robots.txt,text/plain,,,,false,true,0,0,0,0,,,0,,,0,,,0,
franklincountytxelections.gov,TX,3,early_voting|elections|polling,true,200,h2,0,https://franklincountytxelections.gov/robots.txt,text/plain,Apache,,,true,false,130,1,1,1,false,,1,https://franklincountytxelections.gov/wp-sitemap.xml,,0,,,0,
galvestonvotes.org,TX,4,early_voting|elections|polling|voter_registration,true,200,h2,0,https://galvestonvotes.org/robots.txt,text/plain,Apache,,,true,false,119,1,1,1,false,,1,https://galvestonvotes.org/wp-sitemap.xml,,0,,,0,
gisit.tarrantcounty.com,TX,1,polling,true,404,1.1,0,https://gisit.tarrantcounty.com/robots.txt,text/html,Microsoft-IIS/10.0,,,false,false,0,0,0,0,,,0,,,0,,,0,
greggcounty.texas.gov,TX,1,homepage,false,200,h2,0,https://greggcounty.texas.gov/robots.txt,text/plain,nginx,,,true,false,24,1,1,0,false,,0,,,0,,,0,
greggcountyvotes.gov,TX,1,voter_registration,true,200,h2,0,https://greggcountyvotes.gov/robots.txt,text/plain,Apache,,,true,false,123,1,1,1,false,,1,https://greggcountyvotes.gov/wp-sitemap.xml,,0,,,0,
grimescountytexas.gov,TX,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://grimescountytexas.gov/robots.txt,text/plain,,,,true,false,578,7,1,0,true,,1,https://grimescountytexas.gov/sitemap.xml,,0,,,5,http://grimescountytexas.gov/index.asp?SEC={0AAAC5B5-04F7-460F-87D2-8DFEFAE23817}|https://grimescountytexas.gov/|https://grimescountytexas.gov/index.asp?SEC={88DD510B-11EB-4FED-9BB5-C63FCDF0850B}|https://grimescountytexas.gov/index.asp?SEC={C7508369-FC16-4DF1-871C-84EA22D98633}|https://grimescountytexas.gov/index.asp?SEC={E96A035A-47B3-46B5-A872-37962314BD06}
hidalgoelections.maps.arcgis.com,TX,2,early_voting|polling,true,200,h2,0,https://hidalgoelections.maps.arcgis.com/robots.txt,text/plain,ArcGIS Online,x-amz-cf-id;x-amz-cf-pop;x-cache;x-cached,,true,false,61,1,0,0,false,,1,http://static.arcgis.com/sitemap.xml,,0,,,0,
hoodcounty.texas.gov,TX,3,elections|homepage|voter_registration,false,404,1.1,0,https://hoodcounty.texas.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
jeffersoncountytx.gov,TX,1,homepage,false,200,h2,0,https://jeffersoncountytx.gov/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,396,1,15,0,false,,1,https://co.jefferson.tx.us/sitemap.xml,,0,,,0,
jimwellscountyelections.gov,TX,1,elections,true,200,h2,0,https://jimwellscountyelections.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray;x-cache;x-cacheable,,true,false,201,1,1,0,false,,1,https://jimwellscountyelections.gov/sitemap_index.xml,,0,,,0,
kenedycountyelections.com,TX,4,early_voting|polling|results|voter_registration,true,200,h2,0,https://kenedycountyelections.com/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,24,1,1,0,false,,0,,,0,,,0,
kerrcountytx.gov,TX,4,elections|homepage|polling|voter_registration,false,200,h2,0,https://kerrcountytx.gov/robots.txt,text/plain,nginx,,,true,false,56,2,1,0,false,,0,,gptbot,1,,,0,
lovingcountyanddistrictclerk.com,TX,1,elections,true,200,h2,0,https://lovingcountyanddistrictclerk.com/robots.txt,text/plain,DPS/2.0.0+sha-9ac0622,,,true,false,75,1,0,0,false,,1,https://lovingcountyanddistrictclerk.com/sitemap.xml,,0,,,0,
marioncountytaxoffice.com,TX,3,early_voting|elections|polling,true,403,1.1,0,https://marioncountytaxoffice.com/robots.txt,text/html,nginx,,,false,false,0,0,0,0,,,0,,,0,,,0,
mcmullencounty.org,TX,2,elections|homepage,false,403,1.1,0,https://mcmullencounty.org/robots.txt,text/html,nginx,,,false,false,0,0,0,0,,,0,,,0,,,0,
mctx.org,TX,1,homepage,false,200,h2,0,https://mctx.org/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,210,6,1,0,true,,0,,,0,,,1,https://mctx.org/
newtools.cira.state.tx.us,TX,3,results,false,404,1.1,0,https://newtools.cira.state.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
parmercounty.texas.gov,TX,2,elections|homepage,false,200,h2,0,https://parmercounty.texas.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,24,1,1,0,false,,0,,,0,,,0,
tax-office.traviscountytx.gov,TX,1,voter_registration,false,200,h2,1,https://tax-office.traviscountytx.gov/404,text/html,cloudflare,cf-cache-status;cf-ray,,false,true,0,0,0,0,,,0,,,0,,,0,
taylorcounty.texas.gov,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://taylorcounty.texas.gov/robots.txt,text/plain,,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
valverdecounty.texas.gov,TX,4,early_voting|elections|homepage|polling,false,200,h2,0,https://valverdecounty.texas.gov/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
votelubbock.gov,TX,5,early_voting|elections|polling|results|voter_registration,true,200,h2,0,https://votelubbock.gov/robots.txt,text/plain,Apache,,,true,false,118,1,1,1,false,,1,https://votelubbock.gov/wp-sitemap.xml,,0,,,0,
